names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000140416,7.2269278,0.69704354,4.940420093463172e-13,9.880840186926343e-11
ENSG00000189060,6.238389,0.91369176,4.4210074845943177e-10,4.4210074845943174e-08
ENSG00000181722,5.117878,0.69494087,3.089923428323395e-07,2.2793810548220736e-05
ENSG00000187837,5.005562,0.86666304,5.569935595888617e-07,3.581095268619797e-05
ENSG00000124766,4.964535,0.4855399,6.886583047949438e-07,3.9415207758681774e-05
ENSG00000225746,4.665493,0.77561396,3.0787792471424073e-06,0.00016642049984553554
ENSG00000124225,4.6528573,0.35796443,3.2736656120258225e-06,0.00017229819010662224
ENSG00000151422,4.516518,0.6141786,6.2864780701836835e-06,0.00031432390350918417
ENSG00000133816,4.4709673,0.58613837,7.786653334860872e-06,0.00037983674804199373
ENSG00000180573,4.449128,0.847699,8.62195346247729e-06,0.00041056921249891853
ENSG00000123106,4.4051375,0.46927077,1.0571671057068114e-05,0.0004917056305613076
ENSG00000149948,4.3803344,0.4759288,1.1849726034137417e-05,0.0005266544904061074
ENSG00000087086,4.206868,0.28625402,2.5893397367921348e-05,0.0010568733619559733
ENSG00000115504,4.1993804,0.48055184,2.676462155394377e-05,0.0010705848621577509
ENSG00000026025,4.0993876,0.25380737,4.1424436195225185e-05,0.0015342383776009328
ENSG00000120738,4.0449457,0.3897742,5.233526485887149e-05,0.001869116602102553
ENSG00000145555,3.9903474,0.38940683,6.597657035481192e-05,0.0023149673808705936
ENSG00000176973,3.9583685,0.45628643,7.546346210309757e-05,0.0026021883483826748
ENSG00000277443,3.7678988,0.34427804,0.00016462737952093495,0.005487579317364499
ENSG00000185565,3.6516826,0.6853825,0.0002605276465339212,0.00840411763012649
ENSG00000170921,3.6335874,0.48347765,0.0002795078043014757,0.008873263628618277
ENSG00000128512,3.5758693,0.6359985,0.0003490661232898432,0.0109083163528076
ENSG00000169398,3.5691614,0.37615407,0.00035812568448927016,0.011019251830439081
ENSG00000250697,3.5016158,0.49950394,0.0004624461422000333,0.013804362453732337
ENSG00000114423,3.4897602,0.62348455,0.00048345435767381995,0.01413636246477163
ENSG00000196782,3.461837,0.55694723,0.0005365019468970416,0.015328627054201186
ENSG00000198742,3.4479535,0.40705407,0.0005648513241275868,0.015911304905002446
ENSG00000163697,3.3531086,0.54643047,0.0007990933806465865,0.02159711839585369
ENSG00000244242,3.341565,0.95444924,0.0008330750521362051,0.022215334723632137
ENSG00000230590,3.3039703,0.47749013,0.0009532594472450724,0.025085774927501907
ENSG00000134369,3.2595117,0.34385204,0.0011160416345692582,0.02825421859669008
ENSG00000075651,3.2261288,0.5588064,0.0012547685740115144,0.030604111561256447
ENSG00000108821,3.1797984,0.49903694,0.0014737755314485127,0.0346770713282003
ENSG00000171889,3.160299,0.4775024,0.0015760729187903342,0.03581983906341669
ENSG00000120708,3.008984,0.41123933,0.0026212287124086934,0.05637050994427298
ENSG00000178573,3.0053961,0.8183979,0.002652351297788669,0.056433006335929126
ENSG00000108854,2.9894848,0.36309284,0.002794484389712218,0.058218424785671206
ENSG00000075223,2.9746652,0.4479203,0.0029330848004964663,0.06047597526796838
ENSG00000171877,2.9400344,0.37202653,0.003281758665438585,0.06566822563847947
ENSG00000135074,2.9398785,0.38471302,0.0032834112819239737,0.06566822563847947
ENSG00000172331,2.9255269,0.3540353,0.0034387352424895003,0.0680937671780099
ENSG00000136603,2.884812,0.2550128,0.003916472402348417,0.07604800781259062
ENSG00000101384,2.8709285,0.28311405,0.004092679015001939,0.07822549764497888
ENSG00000038382,2.8698366,0.26858297,0.004106838626361391,0.07822549764497888
ENSG00000269821,2.863597,0.5753675,0.004188606960110423,0.07903032000208345
ENSG00000142871,2.8470614,0.28974813,0.004412484614221035,0.08247634792936513
ENSG00000124575,2.7988591,1.0859977,0.005128352036661988,0.09496948216040718
ENSG00000065923,2.7632923,0.45184574,0.005722151202642777,0.10310182347104102
ENSG00000152661,2.7558045,0.532909,0.005854798589438959,0.10454997481140998
ENSG00000168056,2.7313132,0.2803559,0.006308247551123249,0.11165039913492476
ENSG00000231871,2.6998024,0.6253204,0.006938068605927415,0.12083188958469465
ENSG00000104447,2.6993344,0.4692748,0.006947833651119943,0.12083188958469465
ENSG00000118263,2.6940305,0.38169292,0.007059370079967302,0.12171327724081554
ENSG00000272168,2.6611156,0.5044914,0.0077882210492703,0.13313198374821025
ENSG00000175600,2.6411483,0.8225676,0.008262554975299385,0.14004330466609127
ENSG00000214548,2.6049576,0.35737827,0.00918856632615002,0.15187712935785158
ENSG00000237877,2.5375676,0.56967,0.011162577113125583,0.17742080470042648
ENSG00000185345,2.5370998,0.67235404,0.011177510696126868,0.17742080470042648
ENSG00000157483,2.5020008,0.30624884,0.012349361241126844,0.19295876939260692
ENSG00000145730,2.496541,0.3492437,0.012541114279571344,0.1944358803034317
ENSG00000075213,2.4636261,0.7510632,0.013753947823698074,0.21145049416078665
ENSG00000167105,2.4611301,0.43134758,0.013850007367531525,0.21145049416078665
ENSG00000171223,2.4498987,0.20428503,0.014289643939625797,0.21448241422920386
ENSG00000106366,2.4478707,0.23570192,0.01437032175335666,0.21448241422920386
ENSG00000229989,2.4165158,0.37570927,0.01566984893845634,0.2304389549772991
ENSG00000153558,2.3750212,0.38885814,0.017547946404114775,0.25431806382775035
ENSG00000157827,2.3495939,0.24727054,0.01879390015622316,0.27041582958594473
ENSG00000179715,2.3413262,0.39541304,0.01921536848874705,0.2739873050673461
